Gene_human,Order of runs (priority),Exclude due to N term >160AA,Prioritization Notes,Class or type
OR3A5P,Exclude,,Exclude,Olfactory
OR4A15,Exclude,,Exclude,Olfactory
OR4A16,Exclude,,Exclude,Olfactory
OR4A47,Exclude,,Exclude,Olfactory
OR4A4P,Exclude,,Exclude,Olfactory
OR4A5,Exclude,,Exclude,Olfactory
OR4A8,Exclude,,Exclude,Olfactory
OR4B1,Exclude,,Exclude,Olfactory
OR4C11,Exclude,,Exclude,Olfactory
OR4C12,Exclude,,Exclude,Olfactory
OR4C13,Exclude,,Exclude,Olfactory
OR4C15,Exclude,,Exclude,Olfactory
OR4C16,Exclude,,Exclude,Olfactory
OR4C3,Exclude,,Exclude,Olfactory
OR4C45,Exclude,,Exclude,Olfactory
OR4C46,Exclude,,Exclude,Olfactory
OR4C5,Exclude,,Exclude,Olfactory
OR4C6,Exclude,,Exclude,Olfactory
OR4D1,Exclude,,Exclude,Olfactory
OR4D10,Exclude,,Exclude,Olfactory
OR4D11,Exclude,,Exclude,Olfactory
OR4D2,Exclude,,Exclude,Olfactory
OR4D5,Exclude,,Exclude,Olfactory
OR4D6,Exclude,,Exclude,Olfactory
OR4D9,Exclude,,Exclude,Olfactory
OR4E1,Exclude,,Exclude,Olfactory
OR4E2,Exclude,,Exclude,Olfactory
OR4F15,Exclude,,Exclude,Olfactory
OR4F16,Exclude,,Exclude,Olfactory
OR4F17,Exclude,,Exclude,Olfactory
OR4F21,Exclude,,Exclude,Olfactory
OR4F29,Exclude,,Exclude,Olfactory
OR4F3,Exclude,,Exclude,Olfactory
OR4F4,Exclude,,Exclude,Olfactory
OR4F5,Exclude,,Exclude,Olfactory
OR4F6,Exclude,,Exclude,Olfactory
OR4K1,Exclude,,Exclude,Olfactory
OR4K13,Exclude,,Exclude,Olfactory
OR4K14,Exclude,,Exclude,Olfactory
OR4K15,Exclude,,Exclude,Olfactory
OR4K17,Exclude,,Exclude,Olfactory
OR4K2,Exclude,,Exclude,Olfactory
OR4K3,Exclude,,Exclude,Olfactory
OR4K5,Exclude,,Exclude,Olfactory
OR4L1,Exclude,,Exclude,Olfactory
OR4M1,Exclude,,Exclude,Olfactory
OR4M2,Exclude,,Exclude,Olfactory
OR4M2B,Exclude,,Exclude,Olfactory
OR4N2,Exclude,,Exclude,Olfactory
OR4N4,Exclude,,Exclude,Olfactory
OR4N4C,Exclude,,Exclude,Olfactory
OR4N5,Exclude,,Exclude,Olfactory
OR4P4,Exclude,,Exclude,Olfactory
OR4Q2,Exclude,,Exclude,Olfactory
OR4Q3,Exclude,,Exclude,Olfactory
OR4S1,Exclude,,Exclude,Olfactory
OR4S2,Exclude,,Exclude,Olfactory
OR4X1,Exclude,,Exclude,Olfactory
OR4X2,Exclude,,Exclude,Olfactory
OR5A1,Exclude,,Exclude,Olfactory
OR5A2,Exclude,,Exclude,Olfactory
OR5AC1,Exclude,,Exclude,Olfactory
OR5AC2,Exclude,,Exclude,Olfactory
OR5AK2,Exclude,,Exclude,Olfactory
OR5AK3P,Exclude,,Exclude,Olfactory
OR5AL1,Exclude,,Exclude,Olfactory
OR5AN1,Exclude,,Exclude,Olfactory
OR5AP2,Exclude,,Exclude,Olfactory
OR5AR1,Exclude,,Exclude,Olfactory
OR5AS1,Exclude,,Exclude,Olfactory
OR5AU1,Exclude,,Exclude,Olfactory
OR5B12,Exclude,,Exclude,Olfactory
OR5B17,Exclude,,Exclude,Olfactory
OR5B2,Exclude,,Exclude,Olfactory
OR5B21,Exclude,,Exclude,Olfactory
OR5B3,Exclude,,Exclude,Olfactory
OR5BS1P,Exclude,,Exclude,Olfactory
OR5C1,Exclude,,Exclude,Olfactory
OR5D13,Exclude,,Exclude,Olfactory
OR5D14,Exclude,,Exclude,Olfactory
OR5D16,Exclude,,Exclude,Olfactory
OR5D18,Exclude,,Exclude,Olfactory
OR5D3P,Exclude,,Exclude,Olfactory
OR5F1,Exclude,,Exclude,Olfactory
OR5G3,Exclude,,Exclude,Olfactory
OR5H1,Exclude,,Exclude,Olfactory
OR5H14,Exclude,,Exclude,Olfactory
OR5H15,Exclude,,Exclude,Olfactory
OR5H2,Exclude,,Exclude,Olfactory
OR5H6,Exclude,,Exclude,Olfactory
OR5H8,Exclude,,Exclude,Olfactory
OR5I1,Exclude,,Exclude,Olfactory
OR5J2,Exclude,,Exclude,Olfactory
OR5K1,Exclude,,Exclude,Olfactory
